,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
105,Lufkin,US,60.96,31.34,-94.73,100,90,6.93
106,Biak,ID,77.61,-0.91,122.88,100,64,4.97
107,Mar del Plata,AR,66.81,-46.43,-67.52,43,68,28.12
108,Japaratuba,BR,86,-10.59,-36.94,66,75,10.29
109,Maceio,BR,84.2,-9.67,-35.74,62,40,8.05
110,Vostok,RU,4.26,46.45,135.83,58,0,1.95
111,Bafq,IR,57.45,31.6,55.4,16,0,4.63
112,Sao Lourenco,PT,67.96,39.01,-9.42,34,20,10.29
113,Scarborough,GB,60.49,54.28,-0.41,58,36,8.05
114,Cockburn Town,TC,77.25,21.46,-71.14,100,0,5.19
115,Cidreira,BR,77.61,-30.17,-50.22,73,0,15.48
116,Mbarara,UG,76.8,-0.61,30.65,70,20,4.18
117,Saint-Philippe,CA,39.51,45.36,-73.48,93,90,10.29
118,Ochakiv,UA,49.06,46.61,31.55,29,0,6.71
119,Mineros,BO,77,-17.12,-63.23,73,75,12.75
120,Derzhavinsk,KZ,37.2,51.1,66.31,100,68,11.01
121,Shangrao,CN,57.9,28.45,117.97,100,80,2.62
122,Burnie,AU,50.02,-41.05,145.91,89,44,10.45
123,Puerto Cabello,VE,81.21,10.47,-68.01,74,8,2.62
124,Itoman,JP,73.26,26.12,127.67,88,75,4.7
125,Neiafu,TO,73.4,-18.65,-173.98,94,20,3.74
126,Fortuna,ES,60.22,38.18,-1.13,59,20,14.99
127,Machiques,VE,76.71,10.06,-72.55,73,68,3.18
128,Humboldt,CA,29.1,52.21,-105.12,82,0,12.8
129,Mount Gambier,AU,48.2,-37.83,140.78,76,75,8.05
130,Torbay,CA,35.26,47.66,-52.73,59,40,13.87
131,Qaqortoq,GL,24.8,60.72,-46.03,29,75,12.75
132,Matay,EG,83.46,28.42,30.79,27,0,11.79
133,Goderich,CA,35.74,43.74,-81.71,61,0,5.99
134,Bad Hofgastein,AT,55.47,47.17,13.11,51,20,4.7
135,The Pas,CA,23,53.82,-101.24,79,90,17.22
136,Ust-Nera,RU,-16.35,64.57,143.24,21,0,1.95
137,Kudahuvadhoo,MV,84.54,2.67,72.89,100,12,9.78
138,Bluff,AU,72.93,-23.58,149.07,95,92,7.65
139,Jamestown,AU,48.81,-33.21,138.6,80,24,12.8
140,Coquimbo,CL,55.4,-29.95,-71.34,93,90,2.24
141,Sobolevo,RU,51.69,54.43,31.9,72,56,13.35
142,Libreville,GA,87.8,0.39,9.45,74,20,9.17
143,Tura,IN,74.1,25.52,90.21,73,92,2.95
144,Tautira,PF,78.37,-17.73,-149.15,83,20,5.82
145,Longyearbyen,NO,16.41,78.22,15.63,86,0,4.41
146,Tiksi,RU,17.85,71.64,128.87,80,68,13.8
147,Pevek,RU,-9.24,69.7,170.27,67,0,8.32
148,Tecate,US,47.59,32.57,-116.63,93,1,4.7
149,Huilong,CN,55.29,28.89,110.18,89,0,3.96
150,Hasaki,JP,44.24,35.73,140.83,81,75,9.17
151,Smithers,CA,24.8,54.78,-127.17,92,1,2.24
152,Cortez,US,31.89,37.35,-108.58,41,1,3.74
153,Constitucion,MX,37.4,23.99,-104.67,55,5,4.52
154,Isangel,VU,77,-19.55,169.27,88,44,3.36
155,Kieta,PG,76.8,-6.22,155.63,100,36,3.62
156,Kruisfontein,ZA,70.23,-34,24.73,72,0,10.45
157,Champerico,MX,62.6,16.38,-93.6,88,40,3.06
158,Grindavik,IS,31.15,63.84,-22.43,92,75,9.17
159,Mackenzie,CA,19.4,55.34,-123.09,92,1,2.95
160,Vaini,IN,84.2,15.34,74.49,62,20,6.93
161,Kankaanpaa,FI,50.54,61.8,22.42,53,0,18.34
162,Bonthe,SL,93.27,7.53,-12.5,49,0,6.76
163,Vila,IT,62.42,45.18,8.4,27,0,3.36
164,Geraldton,CA,15.8,49.72,-86.95,61,20,4.7
165,Maues,BR,90.3,-3.38,-57.72,63,12,6.2
166,Severo-Yeniseyskiy,RU,25.14,60.37,93.04,82,0,2.39
167,Ndungu,TZ,75.27,-4.38,38.06,82,32,2.73
168,Sitka,US,43,37.17,-99.65,98,88,3
169,Upernavik,GL,12.18,72.79,-56.15,100,44,9.78
170,Saint George,GR,57.47,39.45,22.34,35,20,11.41
171,Verkhnevilyuysk,RU,10.38,63.45,120.31,59,32,3.18
172,Aklavik,CA,26.31,68.22,-135.01,74,90,3.36
173,Paamiut,GL,32.34,61.99,-49.67,96,88,34.49
174,Srednekolymsk,RU,-4.29,67.46,153.71,65,0,3.18
175,Lavrentiya,RU,28.56,65.58,-170.99,95,92,19.73
176,Tamandare,BR,81.66,-8.28,-70.75,82,80,4.97
177,Coihaique,CL,52.36,-45.58,-72.07,71,75,5.82
178,Yulara,AU,75.2,-25.24,130.99,36,0,14.99
179,Presidencia Roque Saenz Pena,AR,84.36,-26.79,-60.44,78,0,4.97
180,Concordia,AR,69.64,-31.4,-58.02,78,75,11.41
181,Port Elizabeth,US,53.19,39.31,-74.98,71,90,3.36
182,Bethel,US,27.86,60.79,-161.76,100,1,3.36
183,Nishihara,JP,46.44,35.74,139.53,80,90,4.52
184,Lundazi,ZM,84.36,-12.29,33.17,42,0,7.99
185,Saint Anthony,US,32.97,43.97,-111.68,80,90,4.41
186,Spassk-Dalniy,RU,26.58,44.6,132.82,79,88,2.51
187,Saskylakh,RU,16.68,71.97,114.09,75,0,15.59
188,Tommot,RU,2.64,58.97,126.27,62,12,2.39
189,Yamoussoukro,CI,91.4,6.81,-5.27,63,75,6.93
190,Port Hardy,CA,37.4,50.7,-127.42,93,40,3.36
191,Guskhara,IN,90,23.5,87.75,60,92,7.43
192,Bambanglipuro,ID,71.13,-7.95,110.28,95,20,2.62
193,Kodiak,US,44.1,39.95,-94.76,99,90,9.17
194,Astara,AZ,43.66,38.42,48.87,100,90,3.36
195,Asosa,ET,94.08,10.07,34.53,15,20,4.18
196,Kungurtug,RU,4.71,50.6,97.53,75,0,2.39
197,Lompoc,US,46.09,34.64,-120.46,93,1,3.36
198,Mikkeli,FI,49.64,61.69,27.27,67,0,14.99
199,Sol-Iletsk,RU,30.81,51.16,55,88,36,5.97
200,Zonguldak,TR,48.07,41.25,31.83,42,20,20.8
201,Bihac,BA,55.83,44.82,15.87,34,0,4.85
202,Airai,TL,70.14,-8.93,125.41,90,48,1.16
203,Texarkana,US,58.44,33.44,-94.04,87,90,8.05
204,Vanimo,PG,84.45,-2.67,141.3,96,32,19.28
205,Haskovo,BG,53.6,41.93,25.56,34,75,8.05
206,Kalaleh,IR,65.37,37.38,55.49,63,40,6.93
207,Kavaratti,IN,84.18,10.57,72.64,100,0,8.99
208,Gimli,CA,33.55,50.63,-96.99,84,56,8.01
209,Leh,IN,2.46,34.16,77.58,62,64,0.72
210,Katobu,ID,82.74,-4.94,122.53,95,48,5.64
211,Chopovychi,UA,51.51,50.83,28.95,59,8,16.15
212,Cabedelo,BR,80.6,-6.97,-34.84,88,75,8.05
213,Formosa,AR,84.2,-26.19,-58.17,70,20,5.82
214,Port Lincoln,AU,58.44,-34.72,135.86,92,64,19.73
215,Deep River,CA,33.06,46.1,-77.49,63,90,11.41
216,Guerrero Negro,MX,56.1,27.97,-114.04,99,44,10.11
217,Chumikan,RU,15.24,54.72,135.31,80,56,3.85
218,Enzan,JP,45.93,35.7,138.73,69,90,0.38
219,Pacifica,US,45.41,37.61,-122.49,93,40,3.36
220,San Patricio,PY,86.52,-26.98,-56.83,66,0,4.74
221,Verkhnyaya Toyma,RU,34.41,62.24,45,89,92,14.58
222,Kargasok,RU,36.3,59.06,80.87,71,68,8.99
223,Tuktoyaktuk,CA,19.4,69.44,-133.03,85,90,8.05
224,Levski,BG,53.38,43.36,25.14,40,75,13.87
225,Kahului,US,64.11,20.89,-156.47,77,75,3.18
226,Northam,GB,53.74,51.04,-4.21,66,20,5.82
227,Atasu,KZ,43.86,48.68,71.64,88,92,11.79
228,Havre,US,27.99,48.55,-109.68,100,1,8.05
229,Gamba,CN,3.99,28.28,88.52,49,0,2.39
230,Anqing,CN,52.86,30.51,117.04,89,24,2.39
231,Bridlington,GB,60.89,54.08,-0.19,58,36,8.05
232,Teknaf,BD,76.53,20.86,92.31,72,0,4.41
233,Esperance,TT,83.19,10.24,-61.45,83,20,16.11
234,Victoria,BN,81.23,5.28,115.24,88,75,4.41
235,Ixtapa,MX,59,20.71,-105.21,77,5,3.36
236,Axim,GH,85.71,4.87,-2.24,90,36,12.57
237,Makat,KZ,44.85,47.65,53.35,63,88,7.2
238,Tanout,NE,104.07,14.97,8.88,7,0,12.46
239,East London,ZA,75.2,-33.02,27.91,69,0,9.17
240,Kuytun,RU,23.34,54.34,101.51,79,12,4.18
241,Seymchan,RU,-0.87,62.93,152.39,64,0,6.64
242,Sisimiut,GL,15.24,66.94,-53.67,82,48,3.74
243,Gravdal,NO,46.9,59.79,5.78,87,75,16.11
244,Karaton,ID,83.41,-6.34,106.1,69,40,5.82
245,Senneterre,CA,15.8,48.39,-77.24,61,20,4.7
246,Stephenville,US,61.16,32.22,-98.2,82,1,9.17
247,Wad Rawah,SD,93.9,15.16,33.13,13,0,6.42
248,Saint-Joseph,FR,59.72,43.56,6.97,48,0,8.05
249,Nemuro,JP,30.18,43.32,145.57,100,12,21.63
250,Reconquista,AR,81.12,-29.14,-59.64,79,0,7.31
251,Khromtau,KZ,38.91,50.26,58.44,66,56,9.44
252,Beian,NO,36.27,63.66,9.57,93,90,17.22
253,Tacna,PE,69.94,-18.01,-70.25,68,0,4.7
254,Kamina,CD,85.26,-8.74,25,62,0,4.97
255,Vestmannaeyjar,IS,32,63.44,-20.27,100,40,8.05
256,Kutum,SD,88.14,14.2,24.66,11,0,6.42
257,San Pedro,AR,73,-33.68,-59.66,70,12,1.99
258,Riyadh,SA,82.4,24.63,46.72,14,75,10.29
259,Jumla,NP,32.88,29.28,82.18,83,56,2.17
260,Sao Jose da Coroa Grande,BR,83.01,-8.9,-35.15,85,100,9.44
261,Zhigansk,RU,9.03,66.77,123.37,78,76,4.29
262,Bilibino,RU,-13.02,68.06,166.44,38,0,2.17
263,Marrakesh,MA,75.2,31.63,-7.99,47,20,4.7
264,Lakatoro,VU,79.95,-16.11,167.42,93,64,7.09
265,Cayenne,GF,86,4.94,-52.33,62,92,16.11
266,Sovetsk,RU,45.39,55.08,21.89,76,8,21.41
267,Prince Rupert,CA,33.8,54.32,-130.32,86,1,2.24
268,Krasnyy Chikoy,RU,20.82,50.36,108.75,49,48,3.96
269,Montrose,AU,52.84,-37.81,145.34,71,40,9.17
270,Iqaluit,CA,23,63.75,-68.52,92,90,4.7
271,Monrovia,LR,93.2,6.33,-10.8,59,75,9.17
272,Tatarsk,RU,35.04,55.22,75.96,92,92,10.78
273,Prince Albert,CA,30.2,53.2,-105.75,74,75,10.29
274,Lagunas,PE,75.72,-5.23,-75.68,94,88,3.18
275,Gonbad-e Qabus,IR,65.25,37.25,55.17,55,20,4.7
276,Newcastleton,GB,53.73,55.18,-2.81,76,0,21.92
277,Buin,CL,58.39,-33.73,-70.74,63,0,2.28
278,Caxito,BR,77.95,-22.65,-42.51,83,75,4.7
